titre,entreprise,lieu,url,date_publication,description_courte,date_scraping,source
Data Analyst H/F - Paris,AVISIA,Paris,https://fr.linkedin.com/jobs/view/data-analyst-h-f-paris-at-avisia-4369454882,2026-02-04,,2026-02-28T13:37:16.491204,linkedin
Data Business Analyst (H/F),Davidson consulting,"Île-de-France, France",https://fr.linkedin.com/jobs/view/data-business-analyst-h-f-at-davidson-consulting-4377184729,2026-02-24,,2026-02-28T13:37:16.519207,linkedin
Business Data Analyst,Antalis,Boulogne-Billancourt,https://fr.linkedin.com/jobs/view/business-data-analyst-at-antalis-4369227408,2026-02-04,,2026-02-28T13:37:16.547552,linkedin
BA/Data analyst,DGTL Performance,Fontenay-sous-Bois,https://fr.linkedin.com/jobs/view/ba-data-analyst-at-dgtl-performance-4376570100,2026-02-23,,2026-02-28T13:37:16.577714,linkedin
Stage Data Analyst BI H/F,LEASECOM,Paris,https://fr.linkedin.com/jobs/view/stage-data-analyst-bi-h-f-at-leasecom-4377428608,2026-02-24,,2026-02-28T13:37:16.605661,linkedin
Data Analyst - Stage - Paris,pass Culture,Paris,https://fr.linkedin.com/jobs/view/data-analyst-stage-paris-at-pass-culture-4377266505,2026-02-26,,2026-02-28T13:37:16.633538,linkedin
Data analyst F/H - CDD,AXA en France,Nanterre,https://fr.linkedin.com/jobs/view/data-analyst-f-h-cdd-at-axa-en-france-4373980467,2026-02-17,,2026-02-28T13:37:16.661786,linkedin
Freelance Data Science Engineer (Python & SQL),Mindrift,Paris,https://fr.linkedin.com/jobs/view/freelance-data-science-engineer-python-sql-at-mindrift-4377124910,2026-02-24,,2026-02-28T13:37:16.691053,linkedin
Alternance - Compliance Data Analyst,AXA,Paris,https://fr.linkedin.com/jobs/view/alternance-compliance-data-analyst-at-axa-4376192824,2026-02-21,,2026-02-28T13:37:16.720859,linkedin
Data Analyst / Power Platform - F/H,ZEISS Group,Rueil-Malmaison,https://fr.linkedin.com/jobs/view/data-analyst-power-platform-f-h-at-zeiss-group-4370544941,2026-02-09,,2026-02-28T13:37:16.749099,linkedin
Consultant(e) Data Analyst,Sia,Paris,https://fr.linkedin.com/jobs/view/consultant-e-data-analyst-at-sia-4373843011,2026-02-16,,2026-02-28T13:37:16.783261,linkedin
Data Analyst,Infogene,Neuilly-sur-Seine,https://fr.linkedin.com/jobs/view/data-analyst-at-infogene-4263256306,2025-07-07,,2026-02-28T13:37:16.813461,linkedin
DATA ANALYST - EXPERT (H/F),GROUPE ALLIANCE,Paris,https://fr.linkedin.com/jobs/view/data-analyst-expert-h-f-at-groupe-alliance-4378621828,2026-02-26,,2026-02-28T13:37:16.842558,linkedin
Data Analyst (H/F),MCA,Paris,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-mca-4290914984,2026-02-12,,2026-02-28T13:37:16.870570,linkedin
Data Analyst,Veepee,Paris,https://fr.linkedin.com/jobs/view/data-analyst-at-veepee-4364051843,2026-01-16,,2026-02-28T13:37:16.898786,linkedin
Data Analyst,MYRIAD Data,Neuilly-sur-Seine,https://fr.linkedin.com/jobs/view/data-analyst-at-myriad-data-4350562816,2025-12-25,,2026-02-28T13:37:16.927755,linkedin
DATA ANALYST - STAGE DE FIN D'ÉTUDES,STATION F,Paris,https://fr.linkedin.com/jobs/view/data-analyst-stage-de-fin-d-%C3%A9tudes-at-station-f-4375398724,2026-02-23,,2026-02-28T13:37:16.990781,linkedin
Data Analyst Power BI (H/F) - Stage,Allianz France,Courbevoie,https://fr.linkedin.com/jobs/view/data-analyst-power-bi-h-f-stage-at-allianz-france-4372104072,2026-02-12,,2026-02-28T13:37:17.034055,linkedin
Data analyst | Deals (M&A) | CDI | H/F,PwC,Paris,https://fr.linkedin.com/jobs/view/data-analyst-deals-m-a-cdi-h-f-at-pwc-4317228807,2025-10-25,,2026-02-28T13:37:17.064496,linkedin
Business Analyst Data,GEC _ Global Experts Consulting,Val-d’Oise,https://fr.linkedin.com/jobs/view/business-analyst-data-at-gec-global-experts-consulting-4376094729,2026-02-24,,2026-02-28T13:37:17.095135,linkedin
Product Data Analyst Intern - Ads,Mirakl,Ville de Paris,https://fr.linkedin.com/jobs/view/product-data-analyst-intern-ads-at-mirakl-4375928457,2026-02-27,,2026-02-28T13:37:17.123815,linkedin
Data Analysis Internship Program,papernest,Paris,https://fr.linkedin.com/jobs/view/data-analysis-internship-program-at-papernest-4365936846,2026-01-25,,2026-02-28T13:37:17.152188,linkedin
Data Analyst Looker (F/H),Beelix,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-looker-f-h-at-beelix-4357742080,2026-02-03,,2026-02-28T13:37:17.180676,linkedin
Data Engineer (H/F),Extia,"Île-de-France, France",https://fr.linkedin.com/jobs/view/data-engineer-h-f-at-extia-4374296525,2026-02-23,,2026-02-28T13:37:17.209003,linkedin
ALTERNANCE - CLIENT INSIGHT ASSISTANT (F/H/X) - SEPTEMBRE 2026,CELINE,Paris,https://fr.linkedin.com/jobs/view/alternance-client-insight-assistant-f-h-x-septembre-2026-at-celine-4377422846,2026-02-24,,2026-02-28T13:37:17.237820,linkedin
Alternance - HR Data Analyst F/H,Louis Vuitton,Paris,https://fr.linkedin.com/jobs/view/alternance-hr-data-analyst-f-h-at-louis-vuitton-4379077292,2026-02-27,,2026-02-28T13:37:17.265692,linkedin
INTERNSHIP - E-Business Performance Analyst - H/F,Christian Dior Couture,Paris,https://fr.linkedin.com/jobs/view/internship-e-business-performance-analyst-h-f-at-christian-dior-couture-4346894815,2026-02-13,,2026-02-28T13:37:17.293735,linkedin
Consultant Data Power BI (F/H),Aubay,Ville de Paris,https://fr.linkedin.com/jobs/view/consultant-data-power-bi-f-h-at-aubay-3621584441,2026-02-17,,2026-02-28T13:37:17.321222,linkedin
Data Analyst Business Information,Coface,Bois-Colombes,https://fr.linkedin.com/jobs/view/data-analyst-business-information-at-coface-4378751320,2026-02-27,,2026-02-28T13:37:17.350733,linkedin
